Country,Year,Sex,DTHS,AGE,W,POP,Mtot,Qtot,QBLOD,QBNGN,QCBPN,QCBVD,QCGEN,QCIRC,QDIGD,QENDO,QEXTL,QGNUR,QHPHO,QHRTD,QIPDZ,QMALI,QMBON,QMCNS,QMCON,QMEND,QMETA,QMGNU,QMLHT,QMNTL,QMRSP,QMSKN,QMUSK,QNCNS,QNINF,QNRST,QNUTR,QPCLD,QPIAD,QPOTH,QREST,QSKIN,QTRST,QEXTRIN,QINTRIN,QSUM,EISUM,NRAD,Radix,Dth,Cum,EDth,CumE,IDth,CumI,EProb,EF,ES,EDEN,EHAZ,IProb,IF,IS,IDEN,IHAZ
4260,2010,1,291,0,1,20566,0.014149567,0.014050165,4.82824E-05,0,0.005504188,4.82824E-05,0.004345412,0,0.000193129,0,0.000917365,0,0,9.65647E-05,0.000531106,0,0,0,0,4.82824E-05,0,4.82824E-05,0,0,0,0,0,4.82824E-05,4.82824E-05,9.65647E-05,0,0,0.001834729,0,0.000241412,0,0,0.001545035,0.01250513,0.014050165,0.014050165,98594.98346,100000,1405.016537,1405.016537,154.5035367,154.5035367,1250.513,1250.513,0.206296813,0,1,0.007489381,0.007489381,0.751885498,0,1,0.016631695,0.016631695
4260,2010,1,20,1,1,20248,0.000987752,0.000987264,0,0,0,0,0.00014809,0,4.93632E-05,0,0.000444269,0,0,0,4.93632E-05,4.93632E-05,0,9.87264E-05,4.93632E-05,0,0,0,0,0,0,0,0,0,0,4.93632E-05,0,0,0,0,4.93632E-05,0,0,0.000542995,0.000444269,0.000987264,0.000987264,98497.64416,98594.98346,97.33930641,1502.355843,53.53661853,208.0401552,43.80268788,1294.315688,0.20766957,0.007489381,0.992510619,0.002595126,0.002614708,0.749916823,0.016631695,0.983368305,0.000582571,0.000592424
4260,2010,1,7,2,1,19422,0.000360416,0.000360351,0,0,0,0,5.14787E-05,0,0,0,0.000102957,0,0,0,5.14787E-05,0,0,0,0,0,0,5.14787E-05,0,0,0,0,0,0,0,0,0,0,0.000102957,0,0,0,0,0.000154436,0.000205915,0.000360351,0.000360351,98462.15042,98497.64416,35.49373293,1537.849576,15.21159983,223.251755,20.2821331,1314.597821,0.207331265,0.010084506,0.989915494,0.000737365,0.000744876,0.750213213,0.017214266,0.982785734,0.00026975,0.000274475
4260,2010,1,14,3,1,19296,0.000725539,0.000725276,0,0,0,0,0,0,0,0,0.000310833,0,0,0,0,0,0,5.18054E-05,0,0,0,0,0.000155416,0,0,0,0,0,5.18054E-05,0.000103611,0,0,5.18054E-05,0,0,0,0,0.000362638,0.000362638,0.000725276,0.000725276,98390.7382,98462.15042,71.41222121,1609.261797,35.7061106,258.9578656,35.7061106,1350.303932,0.207251512,0.010821871,0.989178129,0.001730813,0.001749748,0.750277661,0.017484016,0.982515984,0.000474888,0.000483338
4260,2010,1,4,4,1,19253,0.00020776,0.000207738,0,0,0,0,5.19346E-05,0,0,0,0.000103869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.19346E-05,0,0,0,0,0.000103869,0.000103869,0.000207738,0.000207738,98370.29868,98390.7382,20.43951975,1629.701317,10.21975988,269.1776255,10.21975988,1360.523691,0.207039035,0.012552684,0.987447316,0.000495391,0.000501689,0.750459314,0.017958904,0.982041096,0.000135922,0.000138407
4260,2010,1,28,7,5,95344,0.000293673,0.00146729,0,0,0,0,5.24032E-05,0,0,0,0.000838451,5.24032E-05,0,0,0,5.24032E-05,0,0.000209613,0,5.24032E-05,0,0,0,0,0,0,0,0,0,0.000209613,0,0,0,0,0,0,0,0.000838451,0.000628839,0.00146729,0.00146729,98225.96094,98370.29868,144.3377472,1774.039064,82.47871271,351.6563382,61.85903453,1422.382726,0.206978163,0.013048075,0.986951925,0.00399806,0.004050917,0.750511354,0.018094826,0.981905174,0.000822719,0.00083788
4260,2010,1,38,12,5,109303,0.000347657,0.001736778,0,0,0,0,0,0,0,0,0.001096912,4.57047E-05,0,0,4.57047E-05,4.57047E-05,4.57047E-05,0,0,0,0,0,0.000182819,0,0,0,0,4.57047E-05,4.57047E-05,0.000137114,0,0,4.57047E-05,0,0,0,0,0.001142617,0.000594161,0.001736778,0.001736778,98055.36428,98225.96094,170.5966524,1944.635717,112.2346397,463.890978,58.36201266,1480.744739,0.206442623,0.017046135,0.982953865,0.005440445,0.005534791,0.750984428,0.018917544,0.981082456,0.000776209,0.000791176
4260,2010,1,120,17,5,146947,0.000816621,0.004074786,0,0,0,3.39565E-05,3.39565E-05,0,6.79131E-05,3.39565E-05,0.002512785,6.79131E-05,0,0.000169783,6.79131E-05,3.39565E-05,6.79131E-05,6.79131E-05,0,0,3.39565E-05,6.79131E-05,0.000203739,0,6.79131E-05,3.39565E-05,3.39565E-05,0,0,0.000271652,0,6.79131E-05,6.79131E-05,0,3.39565E-05,0,3.39565E-05,0.002648611,0.001426175,0.004074786,0.004074786,97655.80967,98055.36428,399.5546162,2344.190333,259.7105005,723.6014785,139.8441157,1620.588854,0.205657187,0.02248658,0.97751342,0.012589167,0.012878766,0.751695795,0.019693753,0.980306247,0.001859912,0.001897277
4260,2010,1,251,22,5,180551,0.001390189,0.00692687,2.75971E-05,0,0,5.51942E-05,2.75971E-05,2.75971E-05,0.000220777,0.000110388,0.00455352,0.000165583,0,0.00019318,0.00019318,0.000110388,2.75971E-05,0.000110388,5.51942E-05,0,0,2.75971E-05,0.000220777,0,5.51942E-05,2.75971E-05,5.51942E-05,0,0,0.000358762,0,0,0.000165583,0,8.27913E-05,0,5.51942E-05,0.004967477,0.001959394,0.00692687,0.00692687,96979.36052,97655.80967,676.4491434,3020.639476,485.1029714,1208.70445,191.346172,1811.935026,0.203839177,0.035075747,0.964924253,0.023514807,0.024369588,0.753339317,0.021553666,0.978446334,0.002544884,0.002600944
4260,2010,1,309,27,5,163106,0.001894474,0.009427716,0,0,0,0.000152552,6.10208E-05,0,0.000488167,0,0.004973197,0.000152552,0,0.000793271,0.001311948,0.000152552,0,0,3.05104E-05,0,0,9.15312E-05,0.000183062,6.10208E-05,6.10208E-05,0,3.05104E-05,3.05104E-05,0,0.000152552,0,3.05104E-05,0.000335614,9.15312E-05,0.000122042,0,0.000122042,0.0067428,0.002684916,0.009427716,0.009427716,96065.06663,96979.36052,914.2938946,3934.933371,653.9124618,1862.616912,260.3814328,2072.316459,0.200258867,0.058590554,0.941409446,0.031697652,0.033670421,0.756620938,0.02409855,0.97590145,0.003463046,0.003548562
